662401.769243691,5771068.59527043
662412.057070568,5771071.18639407
662421.314738633,5771073.49877944
662431.96174779,5771076.06741
662442.225405538,5771078.55966476
662447.9366521,5771079.98698816
662463.701001644,5771084.14022035
662471.602918546,5771086.36657843
662485.570587163,5771090.51888404
662494.321670927,5771093.33861917
662507.908324594,5771097.91520215
662519.101171871,5771101.65126268
662528.819521024,5771105.01047951
662539.246044593,5771109.07765057
662548.884536616,5771113.93326417
662555.684916061,5771118.89970284
662562.08459173,5771126.36108444
662566.302965223,5771134.88075283
662568.194683444,5771144.32467857
662568.633509611,5771154.96158688
662568.806191772,5771164.91399571
662568.938264593,5771175.21106593
662569.060549787,5771185.38099911
662569.161738362,5771195.58984582
662569.15400943,5771207.50087799
662568.992607385,5771219.047328
662568.710823413,5771229.72547931
662568.176918013,5771240.75727733
662566.87268836,5771251.76984615
662565.306558966,5771261.27161966
662563.09852078,5771273.84568037
662561.276047988,5771284.99690797
662559.575437768,5771295.32958296
662557.445862957,5771307.71836734
662555.803679517,5771317.3121083
662553.779865838,5771329.62657237
662552.380535345,5771338.45978434
662551.314730979,5771345.25647477
662549.216275024,5771358.03462509
662547.851524619,5771366.08968065
662546.778219467,5771373.66830052
662546.341441563,5771380.76296166
662546.533295648,5771389.24333679
662547.075535053,5771397.00200062
662548.075186666,5771405.77287707
662549.092489155,5771414.11035063
662551.015590744,5771430.27944887
662551.015590744,5771430.27944887
662551.740156757,5771437.13287816
662552.511786745,5771444.0345843
662553.235569179,5771449.46796671
662554.110769751,5771454.48740026
662554.837819794,5771458.27469034
662555.642165115,5771462.12574583
