662554.390842776,5771436.64602288
662553.391014277,5771427.52868046
662551.886704783,5771415.56180561
662550.332061193,5771403.1722805
662549.36803896,5771391.10354911
662549.686842297,5771376.14858319
662551.487953937,5771361.96207197
662553.876934506,5771346.89736525
662556.777033414,5771329.21393031
662559.421882592,5771313.18293754
662562.529883578,5771294.66176264
662565.651926425,5771276.89901466
662568.571684029,5771260.45982009
662571.063199402,5771242.74157149
662571.520222011,5771224.88099538
662571.572619908,5771207.311601
662571.87982269,5771188.38893983
662573.200296962,5771169.6069221
662574.708089243,5771149.50190804
662571.75608223,5771130.99975886
662560.054955486,5771114.54109911
662541.321862059,5771104.22133238
662520.23542464,5771096.22347791
662521.29560163,5771096.609954
662516.050522904,5771094.85260296
662510.716273665,5771093.21272011
662503.363417194,5771091.08126939
662494.37391228,5771088.92827667
662485.636235242,5771086.39454191
662476.18291946,5771083.97141559
662469.419834804,5771082.36810952
662460.596334402,5771080.14308533
662452.613691253,5771078.32239288
662443.269972244,5771076.09237411
662420.292918382,5771069.94623514
662398.255299879,5771064.63699397
